2025-06-24 06:02:44,979 | INFO     | authentication.views | post                 | Line 155  | Login attempt received.
2025-06-24 06:02:45,545 | INFO     | authentication.views | post                 | Line 172  | Login successful for user: abc
2025-06-24 06:03:05,811 | INFO     | ImageApp1.views | get                  | Line 131  | UserDocumentView accessed by user ID: 3
2025-06-24 06:03:05,812 | INFO     | ImageApp1.views | get                  | Line 138  | Fetching documents for user ID: 3
2025-06-24 06:03:05,838 | INFO     | ImageApp1.views | get                  | Line 154  | 33 documents retrieved successfully.
2025-06-24 06:14:50,275 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 06:21:28,165 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:34:44,713 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:36:10,099 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 06:36:11,935 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:41:05,292 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 06:41:07,054 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:50:29,375 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:52:37,963 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:55:33,587 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 06:55:35,427 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:57:01,538 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-24 06:57:03,246 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:58:45,164 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageExtraction\settings.py changed, reloading.
2025-06-24 06:58:47,046 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:59:05,837 | INFO     | authentication.views | post                 | Line 155  | Login attempt received.
2025-06-24 06:59:06,405 | INFO     | authentication.views | post                 | Line 172  | Login successful for user: abc
2025-06-24 06:59:35,209 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageExtraction\settings.py changed, reloading.
2025-06-24 06:59:37,023 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-24 06:59:44,136 | INFO     | authentication.views | post                 | Line 155  | Login attempt received.
2025-06-24 06:59:44,720 | INFO     | authentication.views | post                 | Line 172  | Login successful for user: NikhilVDX
2025-06-24 06:59:56,976 | INFO     | ImageApp1.views | post                 | Line 318  | Upload request received
2025-06-24 06:59:57,173 | ERROR    | ImageApp1.views | post                 | Line 531  | 500
2025-06-24 06:59:57,174 | ERROR    | ImageApp1.views | post                 | Line 532  | Error while processing document.
2025-06-24 06:59:57,188 | ERROR    | ImageApp1.views | log_exception        | Line 71   | Exception occurred in D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py, line 414: response = model.generate_content([data_part, prompt_text])
